stage,idx,SR_LOOKBACK,SR_PIVOT_WINDOW,SR_MERGE_ATR_MULT,ZONE_TOLERANCE_ATR_MULT,total,triggered,coverage,wins_1m,losses_1m,wr_1m,wins_3m,losses_3m,wr_3m,wins_5m,losses_5m,wr_5m,objective
support_resistance,43,40,4,0.8,1.2,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,46,50,2,0.3,0.6,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,47,50,2,0.3,0.8,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,51,50,2,0.5,0.6,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,52,50,2,0.5,0.8,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,53,50,2,0.5,1.2,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,56,50,2,0.8,0.6,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,57,50,2,0.8,0.8,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,58,50,2,0.8,1.2,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,59,50,2,0.8,2.0,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,61,50,3,0.3,0.6,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,62,50,3,0.3,0.8,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,66,50,3,0.5,0.6,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,67,50,3,0.5,0.8,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,71,50,3,0.8,0.6,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,72,50,3,0.8,0.8,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,73,50,3,0.8,1.2,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,74,50,3,0.8,2.0,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,76,50,4,0.3,0.6,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,77,50,4,0.3,0.8,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,81,50,4,0.5,0.6,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,82,50,4,0.5,0.8,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,86,50,4,0.8,0.6,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,87,50,4,0.8,0.8,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,88,50,4,0.8,1.2,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,91,70,2,0.3,0.6,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
